english,chinese,category
abandon,v. 放弃；遗弃,雅思
ability,n. 能力；才能,雅思
abnormal,α.不正常的,六级
abolish,v. 废除；取消,雅思
absolute,a. 绝对的；无条件的；完全的,四级
absurd,α.荒缪的,六级
abundant,a. 丰富的；充裕的；大量的,四级
abundant,adj. 丰富的；大量的,雅思
abundant,α.丰富的,六级
abuse,v. 滥用；虐待；谩骂,四级
academic,a. 学术的；高等院校的；研究院的,四级
academy,n. （高等）专科院校；学会,四级
accelerate,vt. 加速；促进,四级
accelerate,v. 加速；促进,雅思
access,n. 入口；通路；接触,六级
accommodate,v. 容纳；适应,雅思
accommodation,n. 住宿；膳宿,六级
accomplish,vt .完成；到达；实行,四级
accumulate,v. 积累；积聚,雅思
achieve,vt.完成； 达到,雅思
achievement,n.成就； 功绩,雅思
acid,n. 酸；酸性物质 a. 酸的；尖刻的,四级
acknowledge,v. 承认；致谢,四级
acknowledge,v. 对……表示谢忱；报偿,六级
acknowledgement,n. 承认；感谢；致谢,六级
acquaint,v. 熟悉；认识,六级
acquire,v. (靠自己的能力、努力或行为)获得；得到,六级
acquire,vt. 取得；获得；学到,四级
acute,α.敏锐的；锋利的,六级
adapt,vi. 适应；适合；改编；改写 vt. 使适应,四级
adequate,a. 适当地；足够,四级
adequate,adj. 足够的；适当的,雅思
adhere,vi. 粘附；附着；遵守；坚持,四级
adjust,v. 调整；适应,雅思
adjust,v. 调整；调节,四级
admiration,n. 欣赏,六级
adopt,v. 收养；采用；采纳,四级
adult,n. 成年人,四级
advance,n.前进； 提升； 预付款 v.前进； 提前 adj. 预先的；预付(款项),雅思
advanced,adj.先进的,雅思
advantage,n.优势； 利益,雅思
advantageous,adj.有利的,雅思
advertise,v. 为...做广告,四级
advertisement,n. 广告,四级
advocate,v. 提倡；支持,雅思
advocate,n. 提倡者；拥护者,六级
afford,v. 付得起,六级
agency,n. 代理商；经销商,四级
agent,n. 代理人；代理商；动因；原因,四级
aggressive,α.侵略的；好斗的,六级
aim,n.目标； 瞄准 v.对...瞄准； 打算,雅思
alcohol,n. 含酒精的饮料；酒精,四级
algebra,n. 代数,四级
allege,v. 断言；宣称,六级
allowance,n. 津贴,六级
alter,v. 改变；修改,雅思
alter,v. 改变；改动；变更,四级
alternate,v. 交替；轮流,六级
ambiguous,α.模棱两可的；模糊的,六级
ambition,n. 野心；雄心,六级
