english,chinese,category,distance
enlarge,扩大,四级,
preserve,v. 保护；保存；保持；维持,四级,
split,v. 劈开；割裂；分裂 a.裂开的,四级,
feeble,α. 脆弱的；虚弱的,六级,
appropriate,a. 适当的,四级,
coarse,a. 粗的；粗糙的；粗劣的,四级,
mild,a. 温暖的；暖和的；温柔的；味淡的,四级,
virus,n. 病毒,四级,
evaluate,v. 评估；评价,雅思,
accelerate,v. 加速；促进,雅思,
coherent,adj. 一致的；连贯的,雅思,
blur,v. 使模糊不清,雅思,
optimize,v. 优化；改进,雅思,
oblige,v. 迫使；责成；使感激,四级,
void,α. 无效的,六级,7.0
organ,n. 器官；风琴,四级,
episode,n. 插曲；片段,四级,
satellite,n. 卫星,四级,8.0
discipline,n. 纪律；惩罚；学科,四级,
avenue,n. 林荫道；大街,四级,
extinct,a. 绝灭的；熄灭的,四级,
repel,v. 抗御；抵拒,六级,
priority,n. 优先(权),六级,
endure,v. 忍受；忍耐,六级,
conform,v. 符合；遵守；适应,六级,
duplicate,v. 复制；重复,六级,
informative,adj.提供情报的； 见闻广博的,雅思,
